ГОСТ Р 57102-2016/ISO/IEC TR 24748-2:2011 Информационные технологии. Системная и программная инженерия. Управление жизненным циклом. Часть 2. Руководство по применению ИСО/МЭК 15288,ГОСТ Р от 22 сентября 2016 года №57102-2016
ГОСТ Р 57101-2016/ISO/IEC/IEEE 16326:2009 Системная и программная инженерия. Процессы жизненного цикла. Управление проектом,ГОСТ Р от 22 сентября 2016 года №57101-2016
ГОСТ Р 57100-2016/ISO/IEC/IEEE 42010:2011 Системная и программная инженерия. Описание архитектуры,ГОСТ Р от 22 сентября 2016 года №57100-2016
ГОСТ Р 57099-2016 Информационно-коммуникационные технологии в образовании. Электронное обучение безопасности производства. Общие положения,ГОСТ Р от 22 сентября 2016 года №57099-2016
ГОСТ Р 57098-2016/ISO/IEC TR 24774:2010 Системная и программная инженерия. Управление жизненным циклом. Руководство для описания процесса,ГОСТ Р от 22 сентября 2016 года №57098-2016
ГОСТ 33707-2016 (ISO/IEC 2382:2015) Информационные технологии. Словарь,ГОСТ от 22 сентября 2016 года №33707-2016
