ГОСТ Р 56923-2016/ISO/IEC TR 24748-3:2011 Информационные технологии. Системная и программная инженерия. Управление жизненным циклом. Часть 3. Руководство по применению ИСО/МЭК 12207 (Процессы жизненного цикла программных средств),ГОСТ Р от 18 мая 2016 года №56923-2016
ГОСТ Р 56922-2016/ISO/IEC/IEEE 29119-3:2013 Системная и программная инженерия. Тестирование программного обеспечения. Часть 3. Документация тестирования,ГОСТ Р от 18 мая 2016 года №56922-2016
ГОСТ Р 56921-2016/ISO/IEC/IEEE 29119-2:2013 Системная и программная инженерия. Тестирование программного обеспечения. Часть 2. Процессы тестирования,ГОСТ Р от 18 мая 2016 года №56921-2016
ГОСТ Р 56920-2016/ISO/IEC/IEEE 29119-1:2013 Системная и программная инженерия. Тестирование программного обеспечения. Часть 1. Понятия и определения,ГОСТ Р от 18 мая 2016 года №56920-2016
ГОСТ Р ИСО/МЭК 29155-1-2016 Системная и программная инженерия. Структура сопоставительного анализа эффективности выполнения проектов информационных технологий. Часть 1. Понятия и определения,ГОСТ Р от 18 мая 2016 года №ИСО/МЭК 29155-1-2016
ГОСТ Р ИСО/МЭК 26555-2016 Системная и программная инженерия. Инструменты и методы технического менеджмента линейки продуктов,ГОСТ Р от 18 мая 2016 года №ИСО/МЭК 26555-2016
ГОСТ Р ИСО/МЭК 17963-2016 Спецификация веб-служб для управления (WS-management),ГОСТ Р от 18 мая 2016 года №ИСО/МЭК 17963-2016
ГОСТ Р ИСО/МЭК 15026-4-2016 Системная и программная инженерия. Гарантирование систем и программного обеспечения. Часть 4. Гарантии жизненного цикла,ГОСТ Р от 16 мая 2016 года №ИСО/МЭК 15026-4-2016
